Symbol,Start,End,Label,Market Cap,Sector,Income,Sales,Employees,Analyst Rating (1 buy/5 sell),price-to-earnings,Price/Earnings-to-Growth,Price-to-Sales Ratio,Price-to-Book,Price to free cash flow,debt-to-equity,EPS (ttm),Inst Own,ROE,ROI,Profit Margin,Shs Outstand,Beta
A,118.64,160.88,UP,40800311357,Industrials,1.33B,6.66B,17700,3.00,31.04,2.62,5.94,7.97,51.04,0.57,4.38,94.00%,25.60%,14.70%,19.90%,298.00M,1.06
AA,23.25,59.21,UP,7022461783,Industrials,-120.00M,13.13B,12200,2.30,-,-,0.55,1.41,9.52,0.32,-0.86,87.00%,-2.40%,5.00%,-0.90%,179.00M,2.37
AAIC,3.73,3.49,DOWN,87250678,Real Estate,-1.70M,34.00M,11,2.70,-,-,2.58,0.48,-,4.16,-0.06,40.70%,-0.90%,-1.30%,-5.10%,28.77M,1.48
AAN,18.81,24.44,UP,322887214,Consumer Discretionary,16.90M,2.10B,9170,2.70,19.27,-,0.14,0.43,6.42,0.39,0.50,-,2.30%,15.10%,0.80%,30.88M,-
AAP,157.34,237.52,UP,11459137536,Consumer Discretionary,535.70M,11.06B,41000,2.30,21.01,1.89,0.99,3.92,-,0.46,8.62,-,17.80%,15.60%,4.80%,60.45M,1.28
AAT,27.39,37.5,UP,1653628102,Real Estate,42.00M,418.40M,212,3.20,40.36,13.45,4.01,1.38,-,1.34,0.70,96.20%,3.40%,3.30%,10.00%,60.04M,1.10
AB,33.25,49.01,UP,3683495193,Finance,335.50M,367.70M,4118,2.70,10.81,-,9.99,2.34,-,0.00,3.39,11.50%,21.50%,23.80%,91.30%,100.47M,1.33
ABB,28.27,38.14,UP,52143750000,Energy,4.05B,29.19B,104400,2.60,13.91,0.95,1.92,4.56,-,0.64,2.06,6.30%,30.10%,22.00%,13.60%,1.88B,1.13
ABBV,105.41,135.93,UP,257222678093,Health Care,12.57B,57.35B,50000,2.30,20.55,-,4.46,17.55,20.34,4.98,7.07,70.80%,82.80%,17.90%,21.60%,1.77B,0.66
ABC,96.5,133.77,UP,32525012378,Health Care,1.84B,236.33B,38000,2.10,18.56,1.86,0.14,151.07,20.17,27.02,8.71,70.70%,594.40%,24.30%,0.80%,208.88M,0.55
ABEV,2.99,2.76,DOWN,47696967357,Consumer Staples,2.53B,15.26B,53000,2.70,20.25,2.23,3.38,2.92,82.13,0.03,0.16,17.80%,15.50%,20.10%,16.60%,15.74B,1.06
ABG,142.7,170.09,UP,3474647541,Consumer Discretionary,784.60M,14.38B,14200,2.40,4.38,0.24,0.22,1.29,3.73,1.27,35.10,-,33.60%,9.90%,5.50%,22.10M,1.11
ABM,36.92,40.54,UP,2956973838,Consumer Discretionary,215.90M,7.49B,124000,1.70,13.53,2.46,0.37,1.71,-,0.71,3.18,97.42%,13.10%,6.10%,2.90%,66.80M,1.12
ABR,13.82,18.43,UP,2351025239,Real Estate,312.80M,920.30M,579,2.20,8.06,1.01,2.69,1.10,-,6.67,1.80,44.50%,16.30%,2.40%,34.00%,170.30M,1.88
ABT,109.11,141,UP,172127388539,Health Care,7.89B,45.03B,113000,2.10,22.03,2.65,3.80,4.71,34.79,0.46,4.45,75.80%,21.70%,13.50%,17.20%,1.75B,0.69
AC,34.96,43.74,UP,907960309,Finance,-35.10M,21.20M,25,-,-,-,42.13,1.03,26.58,0.00,-1.59,72.50%,-3.80%,-3.90%,-,22.04M,1.14
ACA,53.89,52.05,DOWN,3132583368,Industrials,91.70M,2.22B,6170,1.70,32.19,7.85,1.31,1.47,24.17,0.36,1.89,92.70%,4.70%,3.50%,4.10%,48.30M,0.52
ACCO,8.27,8.25,DOWN,438784611,Consumer Discretionary,110.40M,2.06B,6000,1.70,4.13,0.41,0.21,0.52,6.17,1.35,1.13,88.70%,13.00%,7.60%,5.40%,96.20M,1.76
ACEL,9.72,13.02,UP,890454068,Consumer Discretionary,55.90M,810.40M,900,2.00,16.45,0.76,1.07,5.22,13.16,2.89,0.60,67.90%,33.70%,10.80%,6.90%,92.33M,1.22
ACHR,10.09,6,DOWN,687187169,Industrials,-350.90M,-,209,2.20,-,-,-,1.05,-,0.02,-1.48,43.00%,-51.90%,-,-,236.46M,-
ACI,17.12,30.17,UP,11019690696,Consumer Staples,1.48B,75.34B,290000,2.70,7.53,0.94,0.15,2.58,12.19,1.81,2.83,65.80%,42.90%,17.80%,2.00%,531.90M,-
ACM,48.92,76.86,UP,10482106857,Consumer Discretionary,368.70M,13.08B,51000,1.70,29.66,2.00,0.81,4.35,17.53,0.90,2.56,88.40%,11.80%,11.00%,2.30%,140.61M,1.34
ACN,256.46,413.83,UP,179062423832,Consumer Discretionary,6.88B,61.59B,721000,2.00,24.38,2.18,2.84,7.47,27.50,0.00,10.71,73.50%,32.60%,31.90%,11.20%,664.78M,1.21
ACRE,11.43,14.48,UP,673946934,Real Estate,53.30M,158.80M,2100,1.90,10.76,4.70,4.05,0.77,-,2.39,1.11,47.40%,7.50%,2.30%,33.60%,54.44M,1.36
ADC,64.94,71.28,UP,5476584960,Real Estate,135.60M,382.20M,57,1.70,35.51,14.03,14.30,1.35,206.24,0.51,1.92,100.00%,4.00%,3.20%,35.50%,88.57M,0.46
ADCT,32.22,20.82,DOWN,347074402,Health Care,-187.00M,93.90M,312,2.10,-,-,3.48,2.82,-,2.67,-2.43,48.70%,-118.40%,-49.40%,-,76.91M,-
ADNT,33.73,47.19,UP,3334596457,Consumer Discretionary,795.00M,13.24B,75000,2.60,4.60,0.13,0.27,1.70,-,1.28,8.26,-,34.80%,18.90%,6.00%,94.80M,2.64
ADT,7.84,8.35,UP,7754509100,Consumer Discretionary,-23.90M,5.84B,25000,2.80,-,-,1.33,2.27,5.56,2.91,-0.05,91.40%,-0.80%,0.80%,-0.40%,902.99M,1.83
AEE,76.13,89.06,UP,21005530187,Utilities,1.01B,6.96B,9116,2.10,20.79,3.32,2.99,2.12,14.36,1.48,3.90,82.40%,10.30%,5.00%,14.50%,258.20M,0.41
AEG,3.88,4.93,UP,9075125738,Finance,408.20M,-7836.00M,20000,3.00,23.64,0.62,-,0.50,9.74,0.62,0.20,10.00%,1.70%,3.40%,-,2.03B,1.17
AEL,26.72,38.95,UP,3775453268,Finance,1.13B,1.92B,800,2.60,3.55,0.14,1.94,1.00,0.96,0.15,11.82,-,20.80%,2.10%,58.80%,92.54M,1.01
AENZ,2.36,1.63,DOWN,221297662,Industrials,-22.60M,1.05B,46762,3.00,-,-,0.15,0.53,23.70,1.07,-0.14,5.80%,-8.70%,5.80%,-2.80%,239.40M,0.88
AEO,19.87,25.77,UP,2132796007,Consumer Discretionary,191.90M,5.04B,7200,2.70,12.63,-,0.43,1.49,-,0.27,0.90,99.20%,13.80%,25.60%,3.80%,180.19M,1.32
AER,43.45,65.27,UP,13088966527,Consumer Discretionary,-1138.30M,6.26B,736,-,-,-,2.18,0.89,2.99,3.19,-3.16,-,-8.10%,3.20%,-18.20%,240.37M,2.01
AES,23.24,24.17,UP,17446425945,Utilities,-353.00M,11.74B,8450,1.80,-,-,1.50,8.19,-,9.91,-0.74,97.30%,-16.10%,-1.50%,-3.00%,668.00M,0.96
AEVA,16.4,7.84,DOWN,428357823,Consumer Discretionary,-126.50M,9.00M,227,2.00,-,-,46.14,0.98,-,0.00,-0.59,39.80%,-28.70%,-22.80%,-,216.89M,-
AFG,85.16,136.83,UP,12295733307,Finance,1.03B,6.64B,6600,2.30,12.06,4.60,1.87,3.05,-,0.38,12.11,64.70%,21.50%,16.80%,15.50%,85.10M,0.84
AFL,43.19,58.56,UP,41093528564,Finance,5.05B,20.93B,12447,2.90,8.58,-,1.98,1.63,10.19,0.28,7.83,60.80%,13.20%,11.10%,19.40%,640.71M,0.92
AGCO,102.51,114.74,UP,9280000779,Industrials,792.90M,11.51B,23300,2.10,11.48,1.63,0.83,2.67,-,0.69,10.54,81.50%,26.30%,18.10%,7.80%,74.60M,1.44
AGM,74.76,123.48,UP,1248937456,Finance,134.30M,474.00M,153,1.00,9.33,0.85,2.56,1.71,1.86,33.44,12.36,79.80%,18.70%,0.60%,28.30%,10.80M,0.99
AGO,30.73,49.9,UP,3662990021,Finance,299.00M,763.00M,407,2.00,13.89,4.63,4.76,0.71,-,0.32,4.22,94.40%,5.10%,5.80%,39.20%,63.80M,1.11
AGR,44.9,50.25,UP,15727873717,Utilities,898.00M,7.70B,7348,3.40,17.50,4.46,2.04,0.81,-,0.44,2.32,13.70%,4.70%,3.20%,11.70%,386.74M,0.40
AGRO,7.03,7.57,UP,966958608,Consumer Staples,177.90M,1.23B,9104,2.40,5.38,-,0.78,0.87,3.14,1.22,1.58,83.40%,16.90%,11.10%,14.50%,112.94M,1.06
AGS,6.29,6.77,UP,248672632,Consumer Discretionary,-22.00M,286.90M,780,2.10,-,-,0.88,7.01,7.18,15.24,-0.59,87.20%,-55.60%,3.40%,-7.70%,37.00M,2.39
AGX,44.18,38.29,DOWN,482614618,Industrials,26.30M,468.40M,1358,2.00,19.94,1.99,1.01,1.74,-,0.00,1.71,86.60%,8.40%,10.20%,5.60%,14.13M,0.54
AHH,10.98,15.19,UP,793114202,Real Estate,32.30M,316.80M,138,1.70,23.37,4.67,2.40,1.65,51.11,2.43,0.48,90.70%,7.80%,2.80%,10.20%,67.71M,0.93
AHT,23.7,10.03,DOWN,281170746,Real Estate,-174.40M,1.09B,119,2.70,-,-,0.21,-,-,-,-5.42,42.40%,-,-3.30%,-21.50%,34.33M,2.09
AI,120.01,32.58,DOWN,1418395992,Technology,-226.50M,265.70M,704,3.20,-,-,5.01,1.32,-,0.00,-2.15,46.90%,-22.50%,-19.90%,-85.30%,106.84M,-
AIG,37.13,56.74,UP,49141427867,Finance,12.68B,57.17B,36600,2.20,3.79,0.38,0.77,1.02,14.37,0.63,15.27,92.80%,22.00%,11.70%,22.20%,790.90M,1.21
AIN,70.98,87.7,UP,2850315000,Consumer Discretionary,106.30M,1.01B,4100,3.00,28.74,-,2.88,3.66,76.33,0.55,3.34,-,12.60%,11.00%,10.60%,31.11M,1.30
AIR,34.36,38.55,UP,1568816996,Industrials,88.80M,1.81B,4500,2.00,17.38,1.27,0.82,1.45,26.01,0.11,2.48,-,8.70%,6.90%,4.90%,34.90M,1.58
AIRC,38,54.26,UP,5947001885,Real Estate,954.60M,751.10M,800,2.60,6.08,-,7.45,2.71,36.15,1.58,6.08,-,50.40%,-0.80%,-,155.93M,-
AIT,76.5,102.08,UP,4802905996,Industrials,281.30M,3.98B,6067,2.30,17.48,1.46,1.17,3.97,50.21,0.53,7.19,94.60%,25.10%,15.50%,7.10%,38.53M,1.19
AIV,5.06,7.72,UP,1213474878,Real Estate,237.50M,190.30M,62,1.00,4.76,0.67,6.00,1.52,-,0.00,1.58,95.40%,42.20%,-0.10%,-,149.60M,1.15
AIZ,132.11,154.79,UP,7158516270,Finance,481.50M,10.20B,15600,2.00,14.41,0.83,0.64,1.48,-,0.48,8.41,97.60%,23.30%,9.50%,11.80%,54.61M,0.52
AJG,120.24,168.76,UP,39364382400,Finance,1.09B,8.49B,39000,2.00,37.05,3.63,4.67,4.50,30.22,0.73,5.08,86.80%,11.10%,8.00%,11.30%,210.20M,0.69
AJRD,52.57,46.34,DOWN,3906045728,Industrials,124.10M,2.17B,5000,2.00,33.31,2.71,1.84,6.92,25.50,0.79,1.49,95.70%,29.60%,19.60%,7.00%,80.30M,0.57
AKR,13.7,21.79,UP,1325246169,Real Estate,30.20M,314.20M,123,2.30,42.88,14.29,4.21,0.79,114.01,1.08,0.33,-,1.90%,1.50%,9.60%,94.94M,1.43
AL,42.39,43.99,UP,3921144550,Consumer Discretionary,-131.20M,2.28B,129,1.70,-,-,1.69,0.60,3.35,2.85,-1.14,93.50%,-2.00%,4.00%,-5.80%,110.87M,1.80
ALB,152.63,234.35,UP,32472778254,Industrials,263.60M,4.33B,6000,2.40,128.49,1.67,7.73,5.48,-,0.57,2.22,85.50%,4.50%,9.50%,6.10%,117.12M,1.41
ALC,65.68,88.08,UP,29684568439,Health Care,-,8.66B,24000,2.30,64.20,9.30,3.27,1.45,-,-,0.90,64.80%,-,-,-,490.09M,-
ALE,61.53,66.2,UP,3189752236,Utilities,193.40M,1.50B,1428,2.90,15.33,1.76,2.11,1.16,-,0.74,3.61,78.40%,7.80%,4.10%,12.90%,57.07M,0.70
ALEX,16.6,24.85,UP,1408541326,Real Estate,28.00M,395.30M,611,1.70,52.23,2.61,3.70,1.29,-,0.42,0.39,89.20%,2.50%,3.00%,6.80%,72.70M,1.34
ALG,137.74,146.91,UP,1827833537,Industrials,83.70M,1.43B,4200,2.00,20.43,3.10,1.19,2.32,-,0.50,7.02,96.50%,11.70%,9.00%,5.80%,11.88M,1.02
ALK,49.24,51.94,UP,5648556599,Consumer Discretionary,40.00M,9.07B,20550,1.80,152.07,7.83,0.63,1.49,4.98,0.61,0.29,77.60%,12.60%,8.20%,5.10%,126.54M,1.44
ALL,108.08,117.68,UP,34051838176,Finance,882.00M,50.05B,54300,2.40,46.36,11.82,0.70,1.95,11.73,0.44,2.79,79.00%,4.10%,16.50%,1.80%,273.80M,0.63
ALLE,114.48,131.56,UP,9226341655,Consumer Discretionary,435.50M,3.12B,11000,2.60,21.01,2.10,2.86,11.46,44.29,2.81,4.91,98.10%,56.80%,22.20%,14.00%,87.90M,1.07
ALLY,35.43,47.59,UP,8352316350,Finance,2.01B,9.78B,10500,2.30,4.26,-,0.79,0.71,-,2.12,6.03,98.00%,21.20%,18.00%,29.60%,322.06M,1.27
ALSN,42.08,35.65,DOWN,4037463361,Consumer Discretionary,508.00M,2.69B,3400,2.90,8.27,0.64,1.46,5.36,10.25,3.29,5.18,-,72.00%,17.10%,18.80%,95.21M,0.99
ALTG,9.57,14.26,UP,393056850,Consumer Discretionary,1.40M,1.39B,2250,2.00,278.41,-,0.27,2.81,15.01,4.65,0.04,68.10%,1.00%,0.40%,0.10%,31.93M,1.65
ALV,91.12,103.09,UP,6999029154,Consumer Discretionary,382.00M,8.63B,67800,2.40,19.32,0.90,0.84,2.96,-,0.70,4.36,62.10%,14.80%,10.70%,4.40%,87.00M,1.70
ALX,273.33,260.17,DOWN,1210172366,Real Estate,116.10M,197.60M,70,4.00,10.38,-,6.13,4.86,-,4.39,22.66,40.00%,48.60%,-,61.80%,5.13M,0.66
AM,7.63,9.61,UP,5095860607,Utilities,321.50M,894.90M,519,3.30,16.28,2.63,5.70,2.36,7.53,1.42,0.67,53.90%,14.30%,7.70%,35.90%,478.46M,2.43
AMBC,14.82,16.07,UP,625883832,Finance,5.00M,243.00M,132,3.00,130.47,11.86,2.59,0.80,-,7.06,0.11,78.60%,0.50%,2.30%,2.10%,45.52M,1.20
AMC,2.01,28.94,UP,6822031887,Consumer Discretionary,-817.60M,3.89B,3046,3.90,-,-,0.81,-,-,-,-1.59,28.50%,41.20%,-22.80%,-21.00%,516.82M,1.65
AMCR,11.38,11.96,UP,17235401361,Consumer Discretionary,802.00M,14.54B,37000,2.80,21.14,5.14,1.14,4.06,86.47,1.59,0.53,48.80%,18.10%,8.90%,5.50%,1.49B,0.86
AME,118.38,146.47,UP,29805004875,Consumer Discretionary,1.09B,5.92B,18500,2.20,28.76,2.88,5.15,4.48,39.67,0.36,4.70,88.60%,15.30%,11.40%,17.60%,230.10M,1.24
AMG,99.11,164.83,UP,4767030445,Finance,562.20M,2.48B,4050,2.20,9.95,0.89,1.87,1.75,3.88,0.92,12.45,-,20.80%,12.20%,22.70%,38.70M,1.29
AMH,29.08,43.55,UP,11133910378,Real Estate,196.90M,1.40B,1538,2.20,53.06,1.86,7.66,1.70,25.47,0.70,0.58,97.60%,3.20%,1.60%,14.10%,348.48M,0.59
AMK,23.65,24.99,UP,1537079741,Finance,72.20M,582.80M,874,2.10,24.28,0.75,3.05,1.65,12.88,0.11,0.98,29.10%,5.50%,2.60%,9.70%,73.63M,-
AMN,68.92,121.8,UP,5468355050,Health Care,460.00M,5.22B,3800,1.70,11.47,0.59,0.92,4.82,10.51,0.00,9.81,-,42.50%,18.00%,8.80%,44.50M,0.32
AMP,188.11,301.97,UP,32977769000,Finance,2.77B,14.44B,12000,2.10,13.08,1.23,2.31,8.19,8.19,6.84,24.00,85.10%,59.60%,9.50%,21.40%,112.30M,1.47
AMPY,1.27,3.11,UP,378065298,Energy,2.90M,423.30M,210,2.00,124.00,8.27,0.82,-,6.08,-,0.07,43.60%,-,-12.20%,-,38.44M,2.65
AMR,10.96,60.03,UP,2934701862,Energy,1.31B,3.89B,3560,2.30,2.60,-,0.80,2.47,3.51,0.00,68.28,77.50%,172.90%,35.50%,33.90%,18.38M,1.30
AMRC,50.91,80.19,UP,3148131491,Industrials,95.10M,1.74B,1272,1.80,29.58,1.09,1.59,3.58,-,1.02,1.79,98.00%,10.70%,8.40%,4.40%,51.82M,1.03
AMRX,4.88,4.86,DOWN,341426246,Health Care,-133.60M,2.12B,7000,2.40,-,-,0.29,1.14,4.50,10.13,-0.89,67.20%,-38.70%,4.50%,-6.30%,150.99M,1.26
AMT,219.6,291.14,UP,96376489956,Real Estate,2.90B,10.45B,6378,2.00,32.37,-,9.05,15.12,-,6.10,6.30,93.60%,49.00%,5.90%,27.80%,465.59M,0.53
AMTD,6.6,3.11,DOWN,399807315,Finance,161.90M,117.70M,39,2.00,1.58,-,3.40,0.27,-,0.02,0.65,2.30%,14.70%,9.00%,-,290.50M,-
AMWL,25.55,6.09,DOWN,1114788430,Technology,-238.50M,263.70M,1035,2.70,-,-,3.82,0.87,-,0.00,-0.89,53.20%,-19.70%,-14.00%,-90.40%,273.32M,-
AMX,14.07,20.17,UP,59344481250,Telecommunications,4.12B,44.09B,178399,2.20,15.40,1.69,1.42,3.40,-,1.78,1.29,9.00%,-,13.10%,-,3.18B,0.86
AN,68.09,115.98,UP,5257147930,Consumer Discretionary,1.48B,26.87B,22200,2.20,4.34,0.18,0.19,2.61,4.10,1.57,24.47,99.10%,63.60%,26.30%,5.50%,55.50M,1.12
ANET,70.79,143.15,UP,36924433578,Technology,1.16B,3.93B,2993,2.20,35.71,1.64,9.60,9.11,59.52,0.00,3.67,66.50%,28.20%,21.00%,29.60%,304.93M,1.27
ANF,20.49,35.46,UP,877554469,Consumer Discretionary,79.40M,3.68B,7000,2.70,14.01,0.78,0.23,1.31,-,0.46,1.22,-,10.30%,26.90%,2.20%,50.44M,1.39
ANVS,8.15,18.15,UP,102538873,Health Care,-23.40M,-,3,1.70,-,-,-,2.90,-,0.00,-2.87,9.30%,-55.60%,-,-,8.16M,-
AON,204.55,299.83,UP,59419838662,Finance,2.79B,12.43B,50000,3.00,21.72,1.99,4.61,87.14,38.17,15.27,12.88,88.80%,106.40%,15.30%,11.00%,213.30M,0.87
AORT,23.44,20.43,DOWN,449524002,Health Care,-17.10M,309.20M,1300,1.70,-,-,1.41,1.59,-,1.11,-0.46,86.60%,-5.70%,-1.30%,-5.50%,40.03M,1.35
AOS,53.92,85.29,UP,8481516917,Industrials,495.40M,3.81B,13700,2.70,17.82,2.23,2.25,4.94,38.56,0.16,3.14,98.50%,27.60%,24.00%,13.00%,154.20M,1.23
AP,5.65,4.78,DOWN,58404589,Industrials,-11.90M,362.70M,1485,-,-,-,0.17,0.80,-,1.20,-0.62,55.70%,-14.90%,-11.10%,-3.30%,19.29M,0.89
APAM,49.09,47.49,DOWN,1934744978,Finance,249.10M,1.16B,498,2.80,7.22,0.31,1.97,8.10,-,0.88,4.07,83.50%,-,91.10%,-,79.63M,1.72
APD,268.2,303.89,UP,55302249177,Industrials,2.23B,11.97B,20625,2.30,27.53,2.38,5.08,4.49,-,0.56,10.03,84.80%,16.60%,8.60%,19.10%,222.00M,0.80
APG,17.57,25.44,UP,3857229635,Consumer Discretionary,-149.00M,5.28B,13300,2.20,-,-,0.77,1.89,92.60,1.31,-0.73,87.10%,-6.60%,2.30%,-2.80%,233.00M,1.68
APH,64.26,87.02,UP,45212887453,Technology,1.85B,12.41B,90000,2.10,25.71,2.38,3.61,6.91,40.09,0.72,2.97,96.80%,28.90%,15.30%,15.00%,595.30M,1.25
APLE,12.55,16.16,UP,3921830921,Real Estate,128.30M,1.13B,63,1.80,28.89,-,3.28,1.15,16.13,0.46,0.56,84.90%,4.00%,1.80%,11.40%,229.00M,1.19
APO,47.77,73.04,UP,31783925205,Finance,-2437.50M,5.42B,2153,2.20,-,-,6.40,9.95,-,2.15,-3.00,56.20%,-48.70%,7.30%,-45.00%,584.80M,1.68
APRN,6.15,6.49,UP,83857702,Consumer Discretionary,-115.60M,458.60M,1694,1.70,-,-,0.16,1.37,-,0.52,-3.54,22.60%,-211.10%,-68.60%,-25.20%,34.80M,-3.03
APTV,129.51,163.14,UP,24667074409,Consumer Discretionary,113.00M,16.02B,155000,2.00,234.69,23.47,1.64,3.27,-,0.80,0.42,97.70%,1.40%,7.60%,0.70%,270.93M,2.00
AQN,16.25,14.43,DOWN,7456043441,Utilities,267.40M,3.38B,3445,2.30,27.86,3.55,3.04,1.01,-,1.37,0.40,45.87%,3.60%,3.80%,7.90%,674.74M,0.35
AQUA,26.42,46.43,UP,4793865261,Industrials,56.90M,1.66B,4000,2.20,83.07,3.75,2.77,6.94,55.27,1.42,0.46,-,9.30%,3.70%,3.50%,121.34M,1.72
AR,5.65,17.8,UP,10990996653,Energy,2.07B,7.45B,554,2.10,5.84,-,1.53,1.83,3.77,0.19,6.38,83.40%,35.30%,-0.60%,27.80%,305.34M,3.56
ARC,1.54,3.47,UP,104915774,Consumer Discretionary,11.00M,285.70M,1700,1.00,10.20,1.02,0.37,0.72,5.36,0.47,0.26,52.00%,7.20%,4.70%,3.90%,42.25M,1.30
ARCH,44.63,90.82,UP,2873230323,Energy,1.09B,3.67B,3303,1.70,3.09,-,0.79,2.51,3.79,0.15,52.36,-,109.20%,29.20%,29.60%,18.40M,0.70
ARCO,4.8,5.8,UP,1582618006,Consumer Discretionary,109.30M,3.18B,81256,1.90,14.41,0.34,0.49,7.36,8.06,3.53,0.52,41.70%,50.90%,11.20%,3.40%,210.54M,1.08
ARE,170.77,223.16,UP,23851726439,Real Estate,534.30M,2.50B,559,1.70,43.80,-,9.63,1.34,-,0.60,3.33,-,1.80%,1.60%,12.50%,164.09M,0.92
ARES,46.68,81.05,UP,13420354623,Finance,278.50M,3.58B,2100,2.10,51.85,1.81,6.19,8.38,-,7.58,1.51,75.30%,16.10%,4.60%,7.80%,175.16M,1.30
ARGO,42.91,57.44,UP,867801473,Finance,-120.60M,1.99B,1273,2.50,-,-,0.42,0.64,-,0.34,-3.46,92.10%,-7.90%,1.40%,-6.10%,34.97M,0.97
ARLO,7.49,10.46,UP,454808513,Technology,-42.00M,497.70M,353,2.20,-,-,0.83,3.98,-,0.00,-0.49,74.00%,-38.30%,-54.00%,-8.40%,86.87M,1.68
ARMK,37.72,36.91,DOWN,9428565177,Technology,180.20M,15.49B,248300,2.40,49.71,1.52,0.58,3.08,-,2.80,0.70,-,5.40%,1.60%,1.00%,257.56M,1.66
ARNC,27.87,32.89,UP,2135933216,Consumer Discretionary,134.00M,8.77B,13900,2.20,15.68,1.24,0.23,1.16,-,0.92,1.25,99.10%,8.30%,-7.30%,1.50%,105.70M,-
AROC,8.83,7.34,DOWN,1173409311,Energy,32.20M,803.40M,1100,1.50,39.15,-,1.58,1.45,-,1.75,0.21,83.60%,3.60%,4.40%,4.00%,153.03M,1.71
ARW,97.62,134.6,UP,6512850685,Technology,1.40B,36.06B,20700,3.00,5.18,1.48,0.18,1.29,-,0.65,20.10,99.00%,26.40%,15.60%,3.90%,66.08M,1.38
ASAN,29,76.57,UP,4383175682,Technology,-371.20M,467.80M,1666,2.50,-,-,7.12,35.85,-,0.00,-1.97,52.20%,-212.30%,-112.60%,-79.30%,191.35M,-
ASB,17.2,22.6,UP,3672523411,Finance,320.60M,955.70M,4000,2.90,11.40,1.42,3.78,0.97,5.14,0.00,2.13,82.40%,8.50%,17.90%,33.50%,149.32M,1.03
ASC,3.3,3.33,UP,539783258,Consumer Discretionary,-0.40M,270.20M,47,1.20,-,-,1.89,1.46,91.14,0.99,-0.04,66.00%,-0.10%,-3.00%,-0.10%,40.55M,0.52
ASGN,80.56,123.39,UP,4253446000,Technology,276.70M,4.48B,3900,2.40,15.46,1.14,0.92,2.27,43.52,0.56,5.34,99.30%,23.10%,9.30%,9.50%,51.00M,1.66
ASH,79.1,106.39,UP,5642407851,Industrials,104.00M,2.08B,3800,2.20,54.02,3.52,2.59,1.65,-,0.40,1.85,98.20%,30.10%,4.60%,43.80%,54.00M,1.00
ASIX,19.78,47.11,UP,1026462011,Industrials,195.80M,1.93B,1375,1.70,5.53,0.55,0.53,1.45,5.79,0.00,6.69,85.80%,30.80%,19.80%,10.10%,28.17M,1.79
ASPN,15.79,48.94,UP,507530170,Industrials,-89.50M,152.20M,418,1.80,-,-,3.51,2.70,-,0.00,-2.52,94.40%,-32.60%,-28.70%,-33.10%,40.44M,2.34
ASR,164.4,205.07,UP,6982200000,Consumer Discretionary,476.80M,1.25B,1777,2.40,14.40,-,5.48,3.44,15.29,0.40,15.89,19.20%,25.10%,13.70%,38.70%,30.00M,1.08
ASX,5.97,7.76,UP,10965861869,Technology,2.29B,19.49B,99104,2.30,5.16,0.15,0.59,1.44,4.16,0.79,1.05,6.60%,29.40%,13.70%,11.80%,2.16B,1.14
ATCO,10.62,14.07,UP,4162518589,Consumer Discretionary,485.50M,1.70B,6200,2.50,8.66,0.41,2.45,1.06,-,1.03,1.76,61.50%,13.40%,7.70%,28.50%,270.87M,1.02
ATEN,9.58,16.51,UP,1234421619,Technology,102.40M,266.70M,590,1.70,14.23,0.71,5.15,7.11,26.28,0.00,1.28,89.70%,49.70%,46.30%,37.00%,75.89M,0.99
ATGE,32.03,29.63,DOWN,1885729568,Consumer Discretionary,-29.80M,1.39B,4313,2.30,-,-,1.38,1.27,-,0.56,-0.60,-,22.90%,4.10%,22.90%,45.17M,1.01
ATHM,97.99,29.56,DOWN,3281749280,Technology,205.30M,912.40M,5631,2.20,19.80,-,4.22,1.28,11.73,0.00,1.63,53.60%,6.60%,6.60%,22.50%,126.30M,0.17
ATI,15.98,15.67,DOWN,3884073926,Industrials,11.80M,3.28B,6300,1.80,825.14,-,1.09,4.72,-,2.28,0.04,-,1.80%,4.10%,0.40%,129.42M,1.23
ATIP,10.73,3.29,DOWN,225792235,Health Care,-597.10M,631.90M,5600,2.80,-,-,0.33,0.84,-,1.83,-3.00,90.40%,-144.50%,-87.40%,-94.50%,203.85M,-
ATKR,42.36,109.6,UP,3964737093,Technology,891.30M,3.81B,4000,2.20,4.68,-,0.99,3.53,9.96,0.00,19.96,-,89.70%,38.10%,23.40%,43.07M,2.21
ATO,94.03,104.49,UP,14916675216,Utilities,751.00M,4.05B,4684,2.40,19.54,2.39,3.67,1.60,-,0.86,5.42,93.20%,11.00%,4.90%,23.50%,139.88M,0.55
ATR,134,121.88,DOWN,6494497800,Health Care,237.90M,3.34B,13000,2.50,27.81,4.10,1.97,3.44,-,0.64,3.55,91.90%,12.30%,8.50%,7.10%,65.32M,0.63
ATTO,13.32,24.65,UP,41322724,Telecommunications,-140.70M,1.42B,140553,2.30,-,-,0.03,-,-,-,-9.96,73.50%,294.00%,1.10%,-9.90%,14.60M,1.25
ATUS,36.71,16.61,DOWN,3012176971,Telecommunications,821.20M,9.98B,9000,2.70,2.65,-,0.22,-,1.99,-,1.79,97.60%,-112.40%,8.50%,8.20%,454.67M,1.47
AU,25.49,20.8,DOWN,5459950728,Basic Materials,558.00M,4.22B,30561,2.70,11.02,2.54,1.45,1.45,4.49,0.52,1.33,27.00%,14.20%,8.10%,13.20%,419.99M,0.58
