"Symbol","Start","End","Label","Market.Cap","Sector","Income","Sales","Employees","Analyst.Rating..1.buy.5.sell.","price.to.earnings","Price.Earnings.to.Growth","Price.to.Sales.Ratio","Price.to.Book","Price.to.free.cash.flow","debt.to.equity","EPS..ttm.","Inst.Own","ROE","ROI","Profit.Margin","Shs.Outstand","Beta"
"A",118.64,160.88,"UP",40800311357,"Industrials",1.33e+09,6.66e+09,17700,3,31.04,2.62,5.94,7.97,51.04,0.57,4.38,0.94,0.256,0.147,0.199,2.98e+08,1.06
"AA",23.25,59.21,"UP",7022461783,"Industrials",-1.2e+08,1.313e+10,12200,2.3,0,0,0.55,1.41,9.52,0.32,-0.86,0.87,-0.024,0.05,-0.009,1.79e+08,2.37
"AAIC",3.73,3.49,"DOWN",87250678,"Real Estate",-1700000,3.4e+07,11,2.7,0,0,2.58,0.48,0,4.16,-0.06,0.407,-0.009,-0.013,-0.051,28770000,1.48
"AAN",18.81,24.44,"UP",322887214,"Consumer Discretionary",16900000,2.1e+09,9170,2.7,19.27,0,0.14,0.43,6.42,0.39,0.5,0,0.023,0.151,0.008,30880000,0
"AAP",157.34,237.52,"UP",11459137536,"Consumer Discretionary",535700000,1.106e+10,41000,2.3,21.01,1.89,0.99,3.92,0,0.46,8.62,0,0.178,0.156,0.048,60450000,1.28
"AAT",27.39,37.5,"UP",1653628102,"Real Estate",4.2e+07,418400000,212,3.2,40.36,13.45,4.01,1.38,0,1.34,0.7,0.962,0.034,0.033,0.1,60040000,1.1
"AB",33.25,49.01,"UP",3683495193,"Finance",335500000,367700000,4118,2.7,10.81,0,9.99,2.34,0,0,3.39,0.115,0.215,0.238,0.913,100470000,1.33
"ABB",28.27,38.14,"UP",52143750000,"Energy",4.05e+09,2.919e+10,104400,2.6,13.91,0.95,1.92,4.56,0,0.64,2.06,0.063,0.301,0.22,0.136,1.88e+09,1.13
"ABBV",105.41,135.93,"UP",257222678093,"Health Care",1.257e+10,5.735e+10,50000,2.3,20.55,0,4.46,17.55,20.34,4.98,7.07,0.708,0.828,0.179,0.216,1.77e+09,0.66
"ABC",96.5,133.77,"UP",32525012378,"Health Care",1.84e+09,2.3633e+11,38000,2.1,18.56,1.86,0.14,151.07,20.17,27.02,8.71,0.707,5.944,0.243,0.008,208880000,0.55
"ABEV",2.99,2.76,"DOWN",47696967357,"Consumer Staples",2.53e+09,1.526e+10,53000,2.7,20.25,2.23,3.38,2.92,82.13,0.03,0.16,0.178,0.155,0.201,0.166,1.574e+10,1.06
"ABG",142.7,170.09,"UP",3474647541,"Consumer Discretionary",784600000,1.438e+10,14200,2.4,4.38,0.24,0.22,1.29,3.73,1.27,35.1,0,0.336,0.099,0.055,22100000,1.11
"ABM",36.92,40.54,"UP",2956973838,"Consumer Discretionary",215900000,7.49e+09,124000,1.7,13.53,2.46,0.37,1.71,0,0.71,3.18,0.9742,0.131,0.061,0.029,66800000,1.12
"ABR",13.82,18.43,"UP",2351025239,"Real Estate",312800000,920300000,579,2.2,8.06,1.01,2.69,1.1,0,6.67,1.8,0.445,0.163,0.024,0.34,170300000,1.88
"ABT",109.11,141,"UP",172127388539,"Health Care",7.89e+09,4.503e+10,113000,2.1,22.03,2.65,3.8,4.71,34.79,0.46,4.45,0.758,0.217,0.135,0.172,1.75e+09,0.69
"AC",34.96,43.74,"UP",907960309,"Finance",-35100000,21200000,25,0,0,0,42.13,1.03,26.58,0,-1.59,0.725,-0.038,-0.039,0,22040000,1.14
"ACA",53.89,52.05,"DOWN",3132583368,"Industrials",91700000,2.22e+09,6170,1.7,32.19,7.85,1.31,1.47,24.17,0.36,1.89,0.927,0.047,0.035,0.041,48300000,0.52
"ACCO",8.27,8.25,"DOWN",438784611,"Consumer Discretionary",110400000,2.06e+09,6000,1.7,4.13,0.41,0.21,0.52,6.17,1.35,1.13,0.887,0.13,0.076,0.054,96200000,1.76
"ACEL",9.72,13.02,"UP",890454068,"Consumer Discretionary",55900000,810400000,900,2,16.45,0.76,1.07,5.22,13.16,2.89,0.6,0.679,0.337,0.108,0.069,92330000,1.22
"ACHR",10.09,6,"DOWN",687187169,"Industrials",-350900000,0,209,2.2,0,0,0,1.05,0,0.02,-1.48,0.43,-0.519,0,0,236460000,0
"ACI",17.12,30.17,"UP",11019690696,"Consumer Staples",1.48e+09,7.534e+10,290000,2.7,7.53,0.94,0.15,2.58,12.19,1.81,2.83,0.658,0.429,0.178,0.02,531900000,0
"ACM",48.92,76.86,"UP",10482106857,"Consumer Discretionary",368700000,1.308e+10,51000,1.7,29.66,2,0.81,4.35,17.53,0.9,2.56,0.884,0.118,0.11,0.023,140610000,1.34
"ACN",256.46,413.83,"UP",179062423832,"Consumer Discretionary",6.88e+09,6.159e+10,721000,2,24.38,2.18,2.84,7.47,27.5,0,10.71,0.735,0.326,0.319,0.112,664780000,1.21
"ACRE",11.43,14.48,"UP",673946934,"Real Estate",53300000,158800000,2100,1.9,10.76,4.7,4.05,0.77,0,2.39,1.11,0.474,0.075,0.023,0.336,54440000,1.36
"ADC",64.94,71.28,"UP",5476584960,"Real Estate",135600000,382200000,57,1.7,35.51,14.03,14.3,1.35,206.24,0.51,1.92,1,0.04,0.032,0.355,88570000,0.46
"ADCT",32.22,20.82,"DOWN",347074402,"Health Care",-1.87e+08,93900000,312,2.1,0,0,3.48,2.82,0,2.67,-2.43,0.487,-1.184,-0.494,0,76910000,0
"ADNT",33.73,47.19,"UP",3334596457,"Consumer Discretionary",7.95e+08,1.324e+10,75000,2.6,4.6,0.13,0.27,1.7,0,1.28,8.26,0,0.348,0.189,0.06,94800000,2.64
"ADT",7.84,8.35,"UP",7754509100,"Consumer Discretionary",-23900000,5.84e+09,25000,2.8,0,0,1.33,2.27,5.56,2.91,-0.05,0.914,-0.008,0.008,-0.004,902990000,1.83
"AEE",76.13,89.06,"UP",21005530187,"Utilities",1.01e+09,6.96e+09,9116,2.1,20.79,3.32,2.99,2.12,14.36,1.48,3.9,0.824,0.103,0.05,0.145,258200000,0.41
"AEG",3.88,4.93,"UP",9075125738,"Finance",408200000,-7.836e+09,20000,3,23.64,0.62,0,0.5,9.74,0.62,0.2,0.1,0.017,0.034,0,2.03e+09,1.17
"AEL",26.72,38.95,"UP",3775453268,"Finance",1.13e+09,1.92e+09,800,2.6,3.55,0.14,1.94,1,0.96,0.15,11.82,0,0.208,0.021,0.588,92540000,1.01
"AENZ",2.36,1.63,"DOWN",221297662,"Industrials",-22600000,1.05e+09,46762,3,0,0,0.15,0.53,23.7,1.07,-0.14,0.058,-0.087,0.058,-0.028,239400000,0.88
"AEO",19.87,25.77,"UP",2132796007,"Consumer Discretionary",191900000,5.04e+09,7200,2.7,12.63,0,0.43,1.49,0,0.27,0.9,0.992,0.138,0.256,0.038,180190000,1.32
"AER",43.45,65.27,"UP",13088966527,"Consumer Discretionary",-1138300000,6.26e+09,736,0,0,0,2.18,0.89,2.99,3.19,-3.16,0,-0.081,0.032,-0.182,240370000,2.01
"AES",23.24,24.17,"UP",17446425945,"Utilities",-3.53e+08,1.174e+10,8450,1.8,0,0,1.5,8.19,0,9.91,-0.74,0.973,-0.161,-0.015,-0.03,6.68e+08,0.96
"AEVA",16.4,7.84,"DOWN",428357823,"Consumer Discretionary",-126500000,9e+06,227,2,0,0,46.14,0.98,0,0,-0.59,0.398,-0.287,-0.228,0,216890000,0
"AFG",85.16,136.83,"UP",12295733307,"Finance",1.03e+09,6.64e+09,6600,2.3,12.06,4.6,1.87,3.05,0,0.38,12.11,0.647,0.215,0.168,0.155,85100000,0.84
"AFL",43.19,58.56,"UP",41093528564,"Finance",5.05e+09,2.093e+10,12447,2.9,8.58,0,1.98,1.63,10.19,0.28,7.83,0.608,0.132,0.111,0.194,640710000,0.92
"AGCO",102.51,114.74,"UP",9280000779,"Industrials",792900000,1.151e+10,23300,2.1,11.48,1.63,0.83,2.67,0,0.69,10.54,0.815,0.263,0.181,0.078,74600000,1.44
"AGM",74.76,123.48,"UP",1248937456,"Finance",134300000,4.74e+08,153,1,9.33,0.85,2.56,1.71,1.86,33.44,12.36,0.798,0.187,0.006,0.283,10800000,0.99
"AGO",30.73,49.9,"UP",3662990021,"Finance",2.99e+08,7.63e+08,407,2,13.89,4.63,4.76,0.71,0,0.32,4.22,0.944,0.051,0.058,0.392,63800000,1.11
"AGR",44.9,50.25,"UP",15727873717,"Utilities",8.98e+08,7.7e+09,7348,3.4,17.5,4.46,2.04,0.81,0,0.44,2.32,0.137,0.047,0.032,0.117,386740000,0.4
"AGRO",7.03,7.57,"UP",966958608,"Consumer Staples",177900000,1.23e+09,9104,2.4,5.38,0,0.78,0.87,3.14,1.22,1.58,0.834,0.169,0.111,0.145,112940000,1.06
"AGS",6.29,6.77,"UP",248672632,"Consumer Discretionary",-2.2e+07,286900000,780,2.1,0,0,0.88,7.01,7.18,15.24,-0.59,0.872,-0.556,0.034,-0.077,3.7e+07,2.39
"AGX",44.18,38.29,"DOWN",482614618,"Industrials",26300000,468400000,1358,2,19.94,1.99,1.01,1.74,0,0,1.71,0.866,0.084,0.102,0.056,14130000,0.54
"AHH",10.98,15.19,"UP",793114202,"Real Estate",32300000,316800000,138,1.7,23.37,4.67,2.4,1.65,51.11,2.43,0.48,0.907,0.078,0.028,0.102,67710000,0.93
"AHT",23.7,10.03,"DOWN",281170746,"Real Estate",-174400000,1.09e+09,119,2.7,0,0,0.21,0,0,0,-5.42,0.424,0,-0.033,-0.215,34330000,2.09
"AI",120.01,32.58,"DOWN",1418395992,"Technology",-226500000,265700000,704,3.2,0,0,5.01,1.32,0,0,-2.15,0.469,-0.225,-0.199,-0.853,106840000,0
"AIG",37.13,56.74,"UP",49141427867,"Finance",1.268e+10,5.717e+10,36600,2.2,3.79,0.38,0.77,1.02,14.37,0.63,15.27,0.928,0.22,0.117,0.222,790900000,1.21
"AIN",70.98,87.7,"UP",2850315000,"Consumer Discretionary",106300000,1.01e+09,4100,3,28.74,0,2.88,3.66,76.33,0.55,3.34,0,0.126,0.11,0.106,31110000,1.3
"AIR",34.36,38.55,"UP",1568816996,"Industrials",88800000,1.81e+09,4500,2,17.38,1.27,0.82,1.45,26.01,0.11,2.48,0,0.087,0.069,0.049,34900000,1.58
"AIRC",38,54.26,"UP",5947001885,"Real Estate",954600000,751100000,800,2.6,6.08,0,7.45,2.71,36.15,1.58,6.08,0,0.504,-0.008,0,155930000,0
"AIT",76.5,102.08,"UP",4802905996,"Industrials",281300000,3.98e+09,6067,2.3,17.48,1.46,1.17,3.97,50.21,0.53,7.19,0.946,0.251,0.155,0.071,38530000,1.19
"AIV",5.06,7.72,"UP",1213474878,"Real Estate",237500000,190300000,62,1,4.76,0.67,6,1.52,0,0,1.58,0.954,0.422,-0.001,0,149600000,1.15
"AIZ",132.11,154.79,"UP",7158516270,"Finance",481500000,1.02e+10,15600,2,14.41,0.83,0.64,1.48,0,0.48,8.41,0.976,0.233,0.095,0.118,54610000,0.52
"AJG",120.24,168.76,"UP",39364382400,"Finance",1.09e+09,8.49e+09,39000,2,37.05,3.63,4.67,4.5,30.22,0.73,5.08,0.868,0.111,0.08,0.113,210200000,0.69
"AJRD",52.57,46.34,"DOWN",3906045728,"Industrials",124100000,2.17e+09,5000,2,33.31,2.71,1.84,6.92,25.5,0.79,1.49,0.957,0.296,0.196,0.07,80300000,0.57
"AKR",13.7,21.79,"UP",1325246169,"Real Estate",30200000,314200000,123,2.3,42.88,14.29,4.21,0.79,114.01,1.08,0.33,0,0.019,0.015,0.096,94940000,1.43
"AL",42.39,43.99,"UP",3921144550,"Consumer Discretionary",-131200000,2.28e+09,129,1.7,0,0,1.69,0.6,3.35,2.85,-1.14,0.935,-0.02,0.04,-0.058,110870000,1.8
"ALB",152.63,234.35,"UP",32472778254,"Industrials",263600000,4.33e+09,6000,2.4,128.49,1.67,7.73,5.48,0,0.57,2.22,0.855,0.045,0.095,0.061,117120000,1.41
"ALC",65.68,88.08,"UP",29684568439,"Health Care",0,8.66e+09,24000,2.3,64.2,9.3,3.27,1.45,0,0,0.9,0.648,0,0,0,490090000,0
"ALE",61.53,66.2,"UP",3189752236,"Utilities",193400000,1.5e+09,1428,2.9,15.33,1.76,2.11,1.16,0,0.74,3.61,0.784,0.078,0.041,0.129,57070000,0.7
"ALEX",16.6,24.85,"UP",1408541326,"Real Estate",2.8e+07,395300000,611,1.7,52.23,2.61,3.7,1.29,0,0.42,0.39,0.892,0.025,0.03,0.068,72700000,1.34
"ALG",137.74,146.91,"UP",1827833537,"Industrials",83700000,1.43e+09,4200,2,20.43,3.1,1.19,2.32,0,0.5,7.02,0.965,0.117,0.09,0.058,11880000,1.02
"ALK",49.24,51.94,"UP",5648556599,"Consumer Discretionary",4e+07,9.07e+09,20550,1.8,152.07,7.83,0.63,1.49,4.98,0.61,0.29,0.776,0.126,0.082,0.051,126540000,1.44
"ALL",108.08,117.68,"UP",34051838176,"Finance",8.82e+08,5.005e+10,54300,2.4,46.36,11.82,0.7,1.95,11.73,0.44,2.79,0.79,0.041,0.165,0.018,273800000,0.63
"ALLE",114.48,131.56,"UP",9226341655,"Consumer Discretionary",435500000,3.12e+09,11000,2.6,21.01,2.1,2.86,11.46,44.29,2.81,4.91,0.981,0.568,0.222,0.14,87900000,1.07
"ALLY",35.43,47.59,"UP",8352316350,"Finance",2.01e+09,9.78e+09,10500,2.3,4.26,0,0.79,0.71,0,2.12,6.03,0.98,0.212,0.18,0.296,322060000,1.27
"ALSN",42.08,35.65,"DOWN",4037463361,"Consumer Discretionary",5.08e+08,2.69e+09,3400,2.9,8.27,0.64,1.46,5.36,10.25,3.29,5.18,0,0.72,0.171,0.188,95210000,0.99
"ALTG",9.57,14.26,"UP",393056850,"Consumer Discretionary",1400000,1.39e+09,2250,2,278.41,0,0.27,2.81,15.01,4.65,0.04,0.681,0.01,0.004,0.001,31930000,1.65
"ALV",91.12,103.09,"UP",6999029154,"Consumer Discretionary",3.82e+08,8.63e+09,67800,2.4,19.32,0.9,0.84,2.96,0,0.7,4.36,0.621,0.148,0.107,0.044,8.7e+07,1.7
"ALX",273.33,260.17,"DOWN",1210172366,"Real Estate",116100000,197600000,70,4,10.38,0,6.13,4.86,0,4.39,22.66,0.4,0.486,0,0.618,5130000,0.66
"AM",7.63,9.61,"UP",5095860607,"Utilities",321500000,894900000,519,3.3,16.28,2.63,5.7,2.36,7.53,1.42,0.67,0.539,0.143,0.077,0.359,478460000,2.43
"AMBC",14.82,16.07,"UP",625883832,"Finance",5e+06,2.43e+08,132,3,130.47,11.86,2.59,0.8,0,7.06,0.11,0.786,0.005,0.023,0.021,45520000,1.2
"AMC",2.01,28.94,"UP",6822031887,"Consumer Discretionary",-817600000,3.89e+09,3046,3.9,0,0,0.81,0,0,0,-1.59,0.285,0.412,-0.228,-0.21,516820000,1.65
"AMCR",11.38,11.96,"UP",17235401361,"Consumer Discretionary",8.02e+08,1.454e+10,37000,2.8,21.14,5.14,1.14,4.06,86.47,1.59,0.53,0.488,0.181,0.089,0.055,1.49e+09,0.86
"AME",118.38,146.47,"UP",29805004875,"Consumer Discretionary",1.09e+09,5.92e+09,18500,2.2,28.76,2.88,5.15,4.48,39.67,0.36,4.7,0.886,0.153,0.114,0.176,230100000,1.24
"AMG",99.11,164.83,"UP",4767030445,"Finance",562200000,2.48e+09,4050,2.2,9.95,0.89,1.87,1.75,3.88,0.92,12.45,0,0.208,0.122,0.227,38700000,1.29
"AMH",29.08,43.55,"UP",11133910378,"Real Estate",196900000,1.4e+09,1538,2.2,53.06,1.86,7.66,1.7,25.47,0.7,0.58,0.976,0.032,0.016,0.141,348480000,0.59
"AMK",23.65,24.99,"UP",1537079741,"Finance",72200000,582800000,874,2.1,24.28,0.75,3.05,1.65,12.88,0.11,0.98,0.291,0.055,0.026,0.097,73630000,0
"AMN",68.92,121.8,"UP",5468355050,"Health Care",4.6e+08,5.22e+09,3800,1.7,11.47,0.59,0.92,4.82,10.51,0,9.81,0,0.425,0.18,0.088,44500000,0.32
"AMP",188.11,301.97,"UP",32977769000,"Finance",2.77e+09,1.444e+10,12000,2.1,13.08,1.23,2.31,8.19,8.19,6.84,24,0.851,0.596,0.095,0.214,112300000,1.47
"AMPY",1.27,3.11,"UP",378065298,"Energy",2900000,423300000,210,2,124,8.27,0.82,0,6.08,0,0.07,0.436,0,-0.122,0,38440000,2.65
"AMR",10.96,60.03,"UP",2934701862,"Energy",1.31e+09,3.89e+09,3560,2.3,2.6,0,0.8,2.47,3.51,0,68.28,0.775,1.729,0.355,0.339,18380000,1.3
"AMRC",50.91,80.19,"UP",3148131491,"Industrials",95100000,1.74e+09,1272,1.8,29.58,1.09,1.59,3.58,0,1.02,1.79,0.98,0.107,0.084,0.044,51820000,1.03
"AMRX",4.88,4.86,"DOWN",341426246,"Health Care",-133600000,2.12e+09,7000,2.4,0,0,0.29,1.14,4.5,10.13,-0.89,0.672,-0.387,0.045,-0.063,150990000,1.26
"AMT",219.6,291.14,"UP",96376489956,"Real Estate",2.9e+09,1.045e+10,6378,2,32.37,0,9.05,15.12,0,6.1,6.3,0.936,0.49,0.059,0.278,465590000,0.53
"AMTD",6.6,3.11,"DOWN",399807315,"Finance",161900000,117700000,39,2,1.58,0,3.4,0.27,0,0.02,0.65,0.023,0.147,0.09,0,290500000,0
"AMWL",25.55,6.09,"DOWN",1114788430,"Technology",-238500000,263700000,1035,2.7,0,0,3.82,0.87,0,0,-0.89,0.532,-0.197,-0.14,-0.904,273320000,0
"AMX",14.07,20.17,"UP",59344481250,"Telecommunications",4.12e+09,4.409e+10,178399,2.2,15.4,1.69,1.42,3.4,0,1.78,1.29,0.09,0,0.131,0,3.18e+09,0.86
"AN",68.09,115.98,"UP",5257147930,"Consumer Discretionary",1.48e+09,2.687e+10,22200,2.2,4.34,0.18,0.19,2.61,4.1,1.57,24.47,0.991,0.636,0.263,0.055,55500000,1.12
"ANET",70.79,143.15,"UP",36924433578,"Technology",1.16e+09,3.93e+09,2993,2.2,35.71,1.64,9.6,9.11,59.52,0,3.67,0.665,0.282,0.21,0.296,304930000,1.27
"ANF",20.49,35.46,"UP",877554469,"Consumer Discretionary",79400000,3.68e+09,7000,2.7,14.01,0.78,0.23,1.31,0,0.46,1.22,0,0.103,0.269,0.022,50440000,1.39
"ANVS",8.15,18.15,"UP",102538873,"Health Care",-23400000,0,3,1.7,0,0,0,2.9,0,0,-2.87,0.093,-0.556,0,0,8160000,0
"AON",204.55,299.83,"UP",59419838662,"Finance",2.79e+09,1.243e+10,50000,3,21.72,1.99,4.61,87.14,38.17,15.27,12.88,0.888,1.064,0.153,0.11,213300000,0.87
"AORT",23.44,20.43,"DOWN",449524002,"Health Care",-17100000,309200000,1300,1.7,0,0,1.41,1.59,0,1.11,-0.46,0.866,-0.057,-0.013,-0.055,40030000,1.35
"AOS",53.92,85.29,"UP",8481516917,"Industrials",495400000,3.81e+09,13700,2.7,17.82,2.23,2.25,4.94,38.56,0.16,3.14,0.985,0.276,0.24,0.13,154200000,1.23
"AP",5.65,4.78,"DOWN",58404589,"Industrials",-11900000,362700000,1485,0,0,0,0.17,0.8,0,1.2,-0.62,0.557,-0.149,-0.111,-0.033,19290000,0.89
"APAM",49.09,47.49,"DOWN",1934744978,"Finance",249100000,1.16e+09,498,2.8,7.22,0.31,1.97,8.1,0,0.88,4.07,0.835,0,0.911,0,79630000,1.72
"APD",268.2,303.89,"UP",55302249177,"Industrials",2.23e+09,1.197e+10,20625,2.3,27.53,2.38,5.08,4.49,0,0.56,10.03,0.848,0.166,0.086,0.191,2.22e+08,0.8
"APG",17.57,25.44,"UP",3857229635,"Consumer Discretionary",-1.49e+08,5.28e+09,13300,2.2,0,0,0.77,1.89,92.6,1.31,-0.73,0.871,-0.066,0.023,-0.028,2.33e+08,1.68
"APH",64.26,87.02,"UP",45212887453,"Technology",1.85e+09,1.241e+10,90000,2.1,25.71,2.38,3.61,6.91,40.09,0.72,2.97,0.968,0.289,0.153,0.15,595300000,1.25
"APLE",12.55,16.16,"UP",3921830921,"Real Estate",128300000,1.13e+09,63,1.8,28.89,0,3.28,1.15,16.13,0.46,0.56,0.849,0.04,0.018,0.114,2.29e+08,1.19
"APO",47.77,73.04,"UP",31783925205,"Finance",-2437500000,5.42e+09,2153,2.2,0,0,6.4,9.95,0,2.15,-3,0.562,-0.487,0.073,-0.45,584800000,1.68
"APRN",6.15,6.49,"UP",83857702,"Consumer Discretionary",-115600000,458600000,1694,1.7,0,0,0.16,1.37,0,0.52,-3.54,0.226,-2.111,-0.686,-0.252,34800000,-3.03
"APTV",129.51,163.14,"UP",24667074409,"Consumer Discretionary",1.13e+08,1.602e+10,155000,2,234.69,23.47,1.64,3.27,0,0.8,0.42,0.977,0.014,0.076,0.007,270930000,2
"AQN",16.25,14.43,"DOWN",7456043441,"Utilities",267400000,3.38e+09,3445,2.3,27.86,3.55,3.04,1.01,0,1.37,0.4,0.4587,0.036,0.038,0.079,674740000,0.35
"AQUA",26.42,46.43,"UP",4793865261,"Industrials",56900000,1.66e+09,4000,2.2,83.07,3.75,2.77,6.94,55.27,1.42,0.46,0,0.093,0.037,0.035,121340000,1.72
"AR",5.65,17.8,"UP",10990996653,"Energy",2.07e+09,7.45e+09,554,2.1,5.84,0,1.53,1.83,3.77,0.19,6.38,0.834,0.353,-0.006,0.278,305340000,3.56
"ARC",1.54,3.47,"UP",104915774,"Consumer Discretionary",1.1e+07,285700000,1700,1,10.2,1.02,0.37,0.72,5.36,0.47,0.26,0.52,0.072,0.047,0.039,42250000,1.3
"ARCH",44.63,90.82,"UP",2873230323,"Energy",1.09e+09,3.67e+09,3303,1.7,3.09,0,0.79,2.51,3.79,0.15,52.36,0,1.092,0.292,0.296,18400000,0.7
"ARCO",4.8,5.8,"UP",1582618006,"Consumer Discretionary",109300000,3.18e+09,81256,1.9,14.41,0.34,0.49,7.36,8.06,3.53,0.52,0.417,0.509,0.112,0.034,210540000,1.08
"ARE",170.77,223.16,"UP",23851726439,"Real Estate",534300000,2.5e+09,559,1.7,43.8,0,9.63,1.34,0,0.6,3.33,0,0.018,0.016,0.125,164090000,0.92
"ARES",46.68,81.05,"UP",13420354623,"Finance",278500000,3.58e+09,2100,2.1,51.85,1.81,6.19,8.38,0,7.58,1.51,0.753,0.161,0.046,0.078,175160000,1.3
"ARGO",42.91,57.44,"UP",867801473,"Finance",-120600000,1.99e+09,1273,2.5,0,0,0.42,0.64,0,0.34,-3.46,0.921,-0.079,0.014,-0.061,34970000,0.97
"ARLO",7.49,10.46,"UP",454808513,"Technology",-4.2e+07,497700000,353,2.2,0,0,0.83,3.98,0,0,-0.49,0.74,-0.383,-0.54,-0.084,86870000,1.68
"ARMK",37.72,36.91,"DOWN",9428565177,"Technology",180200000,1.549e+10,248300,2.4,49.71,1.52,0.58,3.08,0,2.8,0.7,0,0.054,0.016,0.01,257560000,1.66
"ARNC",27.87,32.89,"UP",2135933216,"Consumer Discretionary",1.34e+08,8.77e+09,13900,2.2,15.68,1.24,0.23,1.16,0,0.92,1.25,0.991,0.083,-0.073,0.015,105700000,0
"AROC",8.83,7.34,"DOWN",1173409311,"Energy",32200000,803400000,1100,1.5,39.15,0,1.58,1.45,0,1.75,0.21,0.836,0.036,0.044,0.04,153030000,1.71
"ARW",97.62,134.6,"UP",6512850685,"Technology",1.4e+09,3.606e+10,20700,3,5.18,1.48,0.18,1.29,0,0.65,20.1,0.99,0.264,0.156,0.039,66080000,1.38
"ASAN",29,76.57,"UP",4383175682,"Technology",-371200000,467800000,1666,2.5,0,0,7.12,35.85,0,0,-1.97,0.522,-2.123,-1.126,-0.793,191350000,0
"ASB",17.2,22.6,"UP",3672523411,"Finance",320600000,955700000,4000,2.9,11.4,1.42,3.78,0.97,5.14,0,2.13,0.824,0.085,0.179,0.335,149320000,1.03
"ASC",3.3,3.33,"UP",539783258,"Consumer Discretionary",-4e+05,270200000,47,1.2,0,0,1.89,1.46,91.14,0.99,-0.04,0.66,-0.001,-0.03,-0.001,40550000,0.52
"ASGN",80.56,123.39,"UP",4253446000,"Technology",276700000,4.48e+09,3900,2.4,15.46,1.14,0.92,2.27,43.52,0.56,5.34,0.993,0.231,0.093,0.095,5.1e+07,1.66
"ASH",79.1,106.39,"UP",5642407851,"Industrials",1.04e+08,2.08e+09,3800,2.2,54.02,3.52,2.59,1.65,0,0.4,1.85,0.982,0.301,0.046,0.438,5.4e+07,1
"ASIX",19.78,47.11,"UP",1026462011,"Industrials",195800000,1.93e+09,1375,1.7,5.53,0.55,0.53,1.45,5.79,0,6.69,0.858,0.308,0.198,0.101,28170000,1.79
"ASPN",15.79,48.94,"UP",507530170,"Industrials",-89500000,152200000,418,1.8,0,0,3.51,2.7,0,0,-2.52,0.944,-0.326,-0.287,-0.331,40440000,2.34
"ASR",164.4,205.07,"UP",6982200000,"Consumer Discretionary",476800000,1.25e+09,1777,2.4,14.4,0,5.48,3.44,15.29,0.4,15.89,0.192,0.251,0.137,0.387,3e+07,1.08
"ASX",5.97,7.76,"UP",10965861869,"Technology",2.29e+09,1.949e+10,99104,2.3,5.16,0.15,0.59,1.44,4.16,0.79,1.05,0.066,0.294,0.137,0.118,2.16e+09,1.14
"ATCO",10.62,14.07,"UP",4162518589,"Consumer Discretionary",485500000,1.7e+09,6200,2.5,8.66,0.41,2.45,1.06,0,1.03,1.76,0.615,0.134,0.077,0.285,270870000,1.02
"ATEN",9.58,16.51,"UP",1234421619,"Technology",102400000,266700000,590,1.7,14.23,0.71,5.15,7.11,26.28,0,1.28,0.897,0.497,0.463,0.37,75890000,0.99
"ATGE",32.03,29.63,"DOWN",1885729568,"Consumer Discretionary",-29800000,1.39e+09,4313,2.3,0,0,1.38,1.27,0,0.56,-0.6,0,0.229,0.041,0.229,45170000,1.01
"ATHM",97.99,29.56,"DOWN",3281749280,"Technology",205300000,912400000,5631,2.2,19.8,0,4.22,1.28,11.73,0,1.63,0.536,0.066,0.066,0.225,126300000,0.17
"ATI",15.98,15.67,"DOWN",3884073926,"Industrials",11800000,3.28e+09,6300,1.8,825.14,0,1.09,4.72,0,2.28,0.04,0,0.018,0.041,0.004,129420000,1.23
"ATIP",10.73,3.29,"DOWN",225792235,"Health Care",-597100000,631900000,5600,2.8,0,0,0.33,0.84,0,1.83,-3,0.904,-1.445,-0.874,-0.945,203850000,0
"ATKR",42.36,109.6,"UP",3964737093,"Technology",891300000,3.81e+09,4000,2.2,4.68,0,0.99,3.53,9.96,0,19.96,0,0.897,0.381,0.234,43070000,2.21
"ATO",94.03,104.49,"UP",14916675216,"Utilities",7.51e+08,4.05e+09,4684,2.4,19.54,2.39,3.67,1.6,0,0.86,5.42,0.932,0.11,0.049,0.235,139880000,0.55
"ATR",134,121.88,"DOWN",6494497800,"Health Care",237900000,3.34e+09,13000,2.5,27.81,4.1,1.97,3.44,0,0.64,3.55,0.919,0.123,0.085,0.071,65320000,0.63
"ATTO",13.32,24.65,"UP",41322724,"Telecommunications",-140700000,1.42e+09,140553,2.3,0,0,0.03,0,0,0,-9.96,0.735,2.94,0.011,-0.099,14600000,1.25
"ATUS",36.71,16.61,"DOWN",3012176971,"Telecommunications",821200000,9.98e+09,9000,2.7,2.65,0,0.22,0,1.99,0,1.79,0.976,-1.124,0.085,0.082,454670000,1.47
"AU",25.49,20.8,"DOWN",5459950728,"Basic Materials",5.58e+08,4.22e+09,30561,2.7,11.02,2.54,1.45,1.45,4.49,0.52,1.33,0.27,0.142,0.081,0.132,419990000,0.58
"AUD",2.64,2.61,"DOWN",52974398,"Consumer Discretionary",4800000,1.27e+09,3586,3,8.47,0,0.03,0.07,0,2.84,0.04,0.65,0.007,0.032,0.004,138460000,1.44
